date,line,gal_ord,gal_ship,fill_rate_same_day,cum_ord,cum_ship,fill_rate_cumulative
2025-01-01,G2,249.0,0.0,0.0,249.0,0.0,0.0
2025-01-02,G2,0.0,249.0,,249.0,249.0,1.0
2025-01-03,G2,180.0,180.0,1.0,429.0,429.0,1.0
2025-01-04,G2,65.0,65.0,1.0,494.0,494.0,1.0
2025-01-06,G2,163.0,163.0,1.0,657.0,657.0,1.0
2025-01-08,G2,147.0,147.0,1.0,804.0,804.0,1.0
2025-01-09,G2,41.0,41.0,1.0,845.0,845.0,1.0
2025-01-10,G2,49.0,49.0,1.0,894.0,894.0,1.0
2025-01-11,G2,179.0,179.0,1.0,1073.0,1073.0,1.0
2025-01-12,G2,68.0,68.0,1.0,1141.0,1141.0,1.0
2025-01-13,G2,12.0,12.0,1.0,1153.0,1153.0,1.0
2025-01-16,G2,339.0,339.0,1.0,1492.0,1492.0,1.0
2025-01-20,G2,344.0,344.0,1.0,1836.0,1836.0,1.0
2025-01-21,G2,71.0,71.0,1.0,1907.0,1907.0,1.0
2025-01-24,G2,166.0,166.0,1.0,2073.0,2073.0,1.0
2025-01-26,G2,139.0,139.0,1.0,2212.0,2212.0,1.0
2025-01-28,G2,61.0,61.0,1.0,2273.0,2273.0,1.0
2025-01-29,G2,71.0,71.0,1.0,2344.0,2344.0,1.0
2025-01-30,G2,83.0,83.0,1.0,2427.0,2427.0,1.0
2025-01-31,G2,199.0,199.0,1.0,2626.0,2626.0,1.0
2025-02-01,G2,160.0,160.0,1.0,2786.0,2786.0,1.0
2025-02-02,G2,215.0,215.0,1.0,3001.0,3001.0,1.0
2025-02-04,G2,121.0,121.0,1.0,3122.0,3122.0,1.0
2025-02-05,G2,35.0,35.0,1.0,3157.0,3157.0,1.0
2025-02-07,G2,23.0,23.0,1.0,3180.0,3180.0,1.0
2025-02-08,G2,24.0,24.0,1.0,3204.0,3204.0,1.0
2025-02-09,G2,51.0,51.0,1.0,3255.0,3255.0,1.0
2025-02-10,G2,58.0,58.0,1.0,3313.0,3313.0,1.0
2025-02-11,G2,22.0,22.0,1.0,3335.0,3335.0,1.0
2025-02-14,G2,135.0,135.0,1.0,3470.0,3470.0,1.0
2025-02-17,G2,57.0,57.0,1.0,3527.0,3527.0,1.0
2025-02-18,G2,12.0,12.0,1.0,3539.0,3539.0,1.0
2025-02-20,G2,87.0,87.0,1.0,3626.0,3626.0,1.0
2025-02-21,G2,107.0,107.0,1.0,3733.0,3733.0,1.0
2025-02-23,G2,47.0,47.0,1.0,3780.0,3780.0,1.0
2025-02-24,G2,164.0,164.0,1.0,3944.0,3944.0,1.0
2025-02-25,G2,180.0,180.0,1.0,4124.0,4124.0,1.0
2025-02-27,G2,29.0,29.0,1.0,4153.0,4153.0,1.0
2025-02-28,G2,57.0,57.0,1.0,4210.0,4210.0,1.0
2025-03-01,G2,31.0,31.0,1.0,4241.0,4241.0,1.0
2025-03-03,G2,56.0,56.0,1.0,4297.0,4297.0,1.0
2025-03-04,G2,109.0,109.0,1.0,4406.0,4406.0,1.0
2025-03-06,G2,200.0,200.0,1.0,4606.0,4606.0,1.0
2025-03-07,G2,134.0,134.0,1.0,4740.0,4740.0,1.0
2025-03-09,G2,34.0,34.0,1.0,4774.0,4774.0,1.0
2025-03-10,G2,83.0,83.0,1.0,4857.0,4857.0,1.0
2025-03-11,G2,12.0,12.0,1.0,4869.0,4869.0,1.0
2025-03-12,G2,54.0,54.0,1.0,4923.0,4923.0,1.0
2025-03-13,G2,54.0,54.0,1.0,4977.0,4977.0,1.0
2025-03-14,G2,40.0,40.0,1.0,5017.0,5017.0,1.0
2025-03-15,G2,55.0,55.0,1.0,5072.0,5072.0,1.0
2025-03-17,G2,96.0,96.0,1.0,5168.0,5168.0,1.0
2025-03-19,G2,121.0,121.0,1.0,5289.0,5289.0,1.0
2025-03-20,G2,186.0,186.0,1.0,5475.0,5475.0,1.0
2025-03-25,G2,96.0,96.0,1.0,5571.0,5571.0,1.0
2025-03-26,G2,149.0,149.0,1.0,5720.0,5720.0,1.0
2025-03-29,G2,12.0,12.0,1.0,5732.0,5732.0,1.0
2025-03-31,G2,46.0,46.0,1.0,5778.0,5778.0,1.0
2025-01-03,P3,105.0,105.0,1.0,105.0,105.0,1.0
2025-01-05,P3,175.0,175.0,1.0,280.0,280.0,1.0
2025-01-07,P3,85.0,85.0,1.0,365.0,365.0,1.0
2025-01-10,P3,95.0,95.0,1.0,460.0,460.0,1.0
2025-01-13,P3,15.0,15.0,1.0,475.0,475.0,1.0
2025-01-15,P3,40.0,40.0,1.0,515.0,515.0,1.0
2025-01-16,P3,55.0,55.0,1.0,570.0,570.0,1.0
2025-01-17,P3,15.0,15.0,1.0,585.0,585.0,1.0
2025-01-19,P3,45.0,45.0,1.0,630.0,630.0,1.0
2025-01-20,P3,245.0,245.0,1.0,875.0,875.0,1.0
2025-01-22,P3,130.0,130.0,1.0,1005.0,1005.0,1.0
2025-01-23,P3,105.0,105.0,1.0,1110.0,1110.0,1.0
2025-01-25,P3,50.0,50.0,1.0,1160.0,1160.0,1.0
2025-01-27,P3,85.0,85.0,1.0,1245.0,1245.0,1.0
2025-01-28,P3,75.0,75.0,1.0,1320.0,1320.0,1.0
2025-01-29,P3,35.0,35.0,1.0,1355.0,1355.0,1.0
2025-01-30,P3,35.0,35.0,1.0,1390.0,1390.0,1.0
2025-01-31,P3,50.0,50.0,1.0,1440.0,1440.0,1.0
2025-02-01,P3,140.0,140.0,1.0,1580.0,1580.0,1.0
2025-02-02,P3,55.0,55.0,1.0,1635.0,1635.0,1.0
2025-02-04,P3,30.0,30.0,1.0,1665.0,1665.0,1.0
2025-02-05,P3,35.0,35.0,1.0,1700.0,1700.0,1.0
2025-02-06,P3,125.0,125.0,1.0,1825.0,1825.0,1.0
2025-02-08,P3,30.0,30.0,1.0,1855.0,1855.0,1.0
2025-02-10,P3,15.0,15.0,1.0,1870.0,1870.0,1.0
2025-02-11,P3,15.0,15.0,1.0,1885.0,1885.0,1.0
2025-02-13,P3,55.0,55.0,1.0,1940.0,1940.0,1.0
2025-02-14,P3,70.0,70.0,1.0,2010.0,2010.0,1.0
2025-02-17,P3,165.0,165.0,1.0,2175.0,2175.0,1.0
2025-02-22,P3,30.0,30.0,1.0,2205.0,2205.0,1.0
2025-02-25,P3,40.0,40.0,1.0,2245.0,2245.0,1.0
2025-02-26,P3,170.0,170.0,1.0,2415.0,2415.0,1.0
2025-02-27,P3,220.0,220.0,1.0,2635.0,2635.0,1.0
