date,line,gal_ord,gal_ship,fill_rate,inv_gal_start,backlog_gal_start,weekday,month
2025-01-01,G2,137.0,0.0,0.0,0.0,0.0,2,1
2025-01-02,G2,56.0,12045.0,215.08928571428572,138596.80823683532,137.0,3,1
2025-01-03,G2,186.0,299.0,1.60752688172043,168075.47028163087,0.0,4,1
2025-01-04,G2,117.0,0.0,0.0,262195.32802720123,0.0,5,1
2025-01-05,G2,0.0,0.0,,396052.9954072744,117.0,6,1
2025-01-06,G2,119.0,0.0,0.0,519938.2786230815,117.0,0,1
2025-01-07,G2,93.0,0.0,0.0,664416.3349722214,236.0,1,1
2025-01-08,G2,108.0,0.0,0.0,778902.9959068644,329.0,2,1
2025-01-09,G2,88.0,0.0,0.0,916849.949590262,437.0,3,1
2025-01-10,G2,348.0,0.0,0.0,1039000.2765500945,525.0,4,1
2025-01-11,G2,69.0,0.0,0.0,1173896.8184311367,873.0,5,1
2025-01-12,G2,23.0,0.0,0.0,1293457.0159714476,942.0,6,1
2025-01-13,G2,65.0,0.0,0.0,1428029.6324893462,965.0,0,1
2025-01-14,G2,292.0,0.0,0.0,1581135.47554501,1030.0,1,1
2025-01-15,G2,36.0,0.0,0.0,1718100.896023469,1322.0,2,1
2025-01-16,G2,145.0,0.0,0.0,1770342.415815521,1358.0,3,1
2025-01-17,G2,0.0,0.0,,1883131.2841651465,1503.0,4,1
2025-01-18,G2,0.0,0.0,,1934784.4894149015,1503.0,5,1
2025-01-19,G2,83.0,0.0,0.0,2050505.8593938434,1503.0,6,1
2025-01-20,G2,160.0,0.0,0.0,2182495.7656223755,1586.0,0,1
2025-01-21,G2,246.0,0.0,0.0,2337956.7497322643,1746.0,1,1
2025-01-22,G2,203.0,0.0,0.0,2389211.2894802815,1992.0,2,1
2025-01-23,G2,546.0,0.0,0.0,2496697.3134355713,2195.0,3,1
2025-01-24,G2,122.0,0.0,0.0,2541029.629592064,2741.0,4,1
2025-01-25,G2,80.0,0.0,0.0,2579068.616110262,2863.0,5,1
2025-01-26,G2,239.0,0.0,0.0,2716430.667631138,2943.0,6,1
2025-01-27,G2,107.0,0.0,0.0,2864616.147627946,3182.0,0,1
2025-01-28,G2,29.0,0.0,0.0,2914386.523364892,3289.0,1,1
2025-01-29,G2,76.0,0.0,0.0,3004178.642981531,3318.0,2,1
2025-01-30,G2,115.0,0.0,0.0,3088555.902234552,3394.0,3,1
2025-01-31,G2,203.0,0.0,0.0,3135865.633405453,3509.0,4,1
2025-02-01,G2,0.0,0.0,,3223280.3809704185,3712.0,5,2
2025-02-02,G2,0.0,0.0,,3336516.6074189376,3712.0,6,2
2025-02-03,G2,284.0,0.0,0.0,3375460.0325227636,3712.0,0,2
2025-02-04,G2,314.0,0.0,0.0,3456453.3688818538,3996.0,1,2
2025-02-05,G2,147.0,0.0,0.0,3504669.60649006,4310.0,2,2
2025-02-06,G2,115.0,0.0,0.0,3600687.6606804146,4457.0,3,2
2025-02-07,G2,145.0,0.0,0.0,3697046.5495041213,4572.0,4,2
2025-02-08,G2,372.0,0.0,0.0,3736240.282026225,4717.0,5,2
2025-02-09,G2,24.0,0.0,0.0,3850982.566555964,5089.0,6,2
2025-02-10,G2,473.0,0.0,0.0,3956383.1126700956,5113.0,0,2
2025-02-11,G2,147.0,0.0,0.0,4081255.7909379248,5586.0,1,2
2025-02-12,G2,85.0,0.0,0.0,4192945.0429286533,5733.0,2,2
2025-02-13,G2,124.0,0.0,0.0,4224230.133304442,5818.0,3,2
2025-02-14,G2,123.0,0.0,0.0,4368882.011692821,5942.0,4,2
2025-02-15,G2,0.0,0.0,,4507997.530247992,6065.0,5,2
2025-02-16,G2,33.0,0.0,0.0,4692377.667454044,6065.0,6,2
2025-02-17,G2,148.0,0.0,0.0,4791699.465314768,6098.0,0,2
2025-02-18,G2,0.0,0.0,,4834227.715980172,6246.0,1,2
2025-02-19,G2,60.0,0.0,0.0,4979913.890880589,6246.0,2,2
2025-02-20,G2,86.0,0.0,0.0,5105565.668110492,6306.0,3,2
2025-02-21,G2,55.0,0.0,0.0,5200459.893877337,6392.0,4,2
2025-02-22,G2,171.0,0.0,0.0,5320771.778867774,6447.0,5,2
2025-02-23,G2,127.0,0.0,0.0,5460057.625989534,6618.0,6,2
2025-02-24,G2,155.0,0.0,0.0,5583863.7048941925,6745.0,0,2
2025-02-25,G2,399.0,0.0,0.0,5628238.273300131,6900.0,1,2
2025-02-26,G2,37.0,0.0,0.0,5756923.803009361,7299.0,2,2
2025-02-27,G2,88.0,0.0,0.0,5878435.948102523,7336.0,3,2
2025-02-28,G2,203.0,0.0,0.0,5941671.24830872,7424.0,4,2
2025-03-01,G2,69.0,0.0,0.0,6059238.473235264,7627.0,5,3
2025-03-02,G2,45.0,0.0,0.0,6172979.592427379,7696.0,6,3
2025-03-03,G2,0.0,0.0,,6300907.296761291,7741.0,0,3
2025-03-04,G2,221.0,0.0,0.0,6414482.49075882,7741.0,1,3
2025-03-05,G2,359.0,0.0,0.0,6494896.17867298,7962.0,2,3
2025-03-06,G2,216.0,0.0,0.0,6540663.066112264,8321.0,3,3
2025-03-07,G2,182.0,0.0,0.0,6689628.149498501,8537.0,4,3
2025-03-08,G2,51.0,0.0,0.0,6727861.575798446,8719.0,5,3
2025-03-09,G2,403.0,0.0,0.0,6783719.333460207,8770.0,6,3
2025-03-10,G2,283.0,0.0,0.0,6880223.186674715,9173.0,0,3
2025-03-11,G2,30.0,0.0,0.0,6920096.982774633,9456.0,1,3
2025-03-12,G2,212.0,0.0,0.0,6951584.820579966,9486.0,2,3
2025-03-13,G2,50.0,0.0,0.0,7080196.56637427,9698.0,3,3
2025-03-14,G2,29.0,0.0,0.0,7213252.997419421,9748.0,4,3
2025-03-15,G2,16.0,0.0,0.0,7322540.541932035,9777.0,5,3
2025-03-16,G2,176.0,0.0,0.0,7420764.930741404,9793.0,6,3
2025-03-17,G2,193.0,0.0,0.0,7543984.480645337,9969.0,0,3
2025-03-18,G2,36.0,0.0,0.0,7689012.691143665,10162.0,1,3
2025-03-19,G2,0.0,0.0,,7803327.75292039,10198.0,2,3
2025-03-20,G2,312.0,0.0,0.0,7930495.757307283,10198.0,3,3
2025-03-21,G2,169.0,0.0,0.0,8043574.87878788,10510.0,4,3
2025-03-22,G2,157.0,0.0,0.0,8147882.855481237,10679.0,5,3
2025-03-23,G2,0.0,0.0,,8269486.656427936,10836.0,6,3
2025-03-24,G2,26.0,0.0,0.0,8442958.62306106,10836.0,0,3
2025-03-25,G2,161.0,0.0,0.0,8487355.965856178,10862.0,1,3
2025-03-26,G2,303.0,0.0,0.0,8606881.663464502,11023.0,2,3
2025-03-27,G2,18.0,0.0,0.0,8696981.250141028,11326.0,3,3
2025-03-28,G2,208.0,0.0,0.0,8803267.571942432,11344.0,4,3
2025-03-29,G2,114.0,0.0,0.0,8845282.914613714,11552.0,5,3
2025-03-30,G2,198.0,0.0,0.0,8954276.879081782,11666.0,6,3
2025-03-31,G2,79.0,0.0,0.0,9056267.52256832,11864.0,0,3
2025-04-01,G2,22.0,0.0,0.0,9178040.651264427,11943.0,1,4
2025-01-01,P3,80.0,0.0,0.0,0.0,0.0,2,1
2025-01-02,P3,270.0,13140.0,48.666666666666664,370130.719739555,80.0,3,1
2025-01-03,P3,15.0,105.0,7.0,618192.3540557846,0.0,4,1
2025-01-04,P3,35.0,0.0,0.0,923488.5845152915,0.0,5,1
2025-01-05,P3,95.0,0.0,0.0,1242633.872032304,35.0,6,1
2025-01-06,P3,80.0,0.0,0.0,1698800.640304788,130.0,0,1
2025-01-07,P3,230.0,0.0,0.0,2058974.923087565,210.0,1,1
2025-01-08,P3,150.0,0.0,0.0,2445850.2289359714,440.0,2,1
2025-01-09,P3,315.0,0.0,0.0,2783284.6027590027,590.0,3,1
2025-01-10,P3,220.0,0.0,0.0,3057620.630109124,905.0,4,1
2025-01-11,P3,245.0,0.0,0.0,3175448.9198687025,1125.0,5,1
2025-01-12,P3,295.0,0.0,0.0,3397057.4452275066,1370.0,6,1
2025-01-13,P3,85.0,0.0,0.0,3722707.629929862,1665.0,0,1
2025-01-14,P3,180.0,0.0,0.0,4060008.6059424356,1750.0,1,1
2025-01-15,P3,55.0,0.0,0.0,4192894.2615905767,1930.0,2,1
