date,line,gal_ord,gal_ship,fill_rate_same_day
2025-01-01,G2,249.0,0.0,0.0
2025-01-01,Q1,154.5,0.0,0.0
2025-01-02,G2,0.0,249.0,
2025-01-02,Q1,25.25,179.75,7.118811881188119
2025-01-03,G2,180.0,180.0,1.0
2025-01-03,P3,105.0,105.0,1.0
2025-01-03,Q1,34.75,34.75,1.0
2025-01-04,G2,65.0,65.0,1.0
2025-01-04,Q1,16.5,16.5,1.0
2025-01-05,P3,175.0,175.0,1.0
2025-01-05,Q1,124.0,124.0,1.0
2025-01-06,G2,163.0,163.0,1.0
2025-01-06,Q1,22.75,22.75,1.0
2025-01-07,P3,85.0,85.0,1.0
2025-01-08,G2,147.0,147.0,1.0
2025-01-08,Q1,184.5,184.5,1.0
2025-01-09,G2,41.0,41.0,1.0
2025-01-10,G2,49.0,49.0,1.0
2025-01-10,P3,95.0,95.0,1.0
2025-01-10,Q1,206.75,206.75,1.0
2025-01-11,G2,179.0,179.0,1.0
2025-01-11,Q1,176.25,176.25,1.0
2025-01-12,G2,68.0,68.0,1.0
2025-01-13,G2,12.0,12.0,1.0
2025-01-13,P3,15.0,15.0,1.0
2025-01-14,Q1,31.5,31.5,1.0
2025-01-15,P3,40.0,40.0,1.0
2025-01-15,Q1,83.5,83.5,1.0
2025-01-16,G2,339.0,339.0,1.0
2025-01-16,P3,55.0,55.0,1.0
2025-01-16,Q1,81.75,81.75,1.0
2025-01-17,P3,15.0,15.0,1.0
2025-01-17,Q1,83.25,83.25,1.0
2025-01-18,Q1,27.5,27.5,1.0
2025-01-19,P3,45.0,45.0,1.0
2025-01-19,Q1,139.0,139.0,1.0
2025-01-20,G2,344.0,344.0,1.0
2025-01-20,P3,245.0,245.0,1.0
2025-01-21,G2,71.0,71.0,1.0
2025-01-21,Q1,156.0,156.0,1.0
2025-01-22,P3,130.0,130.0,1.0
2025-01-23,P3,105.0,105.0,1.0
2025-01-23,Q1,47.0,47.0,1.0
2025-01-24,G2,166.0,166.0,1.0
2025-01-24,Q1,41.75,41.75,1.0
2025-01-25,P3,50.0,50.0,1.0
2025-01-25,Q1,36.0,36.0,1.0
2025-01-26,G2,139.0,139.0,1.0
2025-01-26,Q1,191.0,191.0,1.0
2025-01-27,P3,85.0,85.0,1.0
2025-01-27,Q1,227.25,227.25,1.0
2025-01-28,G2,61.0,61.0,1.0
2025-01-28,P3,75.0,75.0,1.0
2025-01-28,Q1,73.25,73.25,1.0
2025-01-29,G2,71.0,71.0,1.0
2025-01-29,P3,35.0,35.0,1.0
2025-01-29,Q1,74.25,74.25,1.0
2025-01-30,G2,83.0,83.0,1.0
2025-01-30,P3,35.0,35.0,1.0
2025-01-30,Q1,101.25,101.25,1.0
2025-01-31,G2,199.0,199.0,1.0
2025-01-31,P3,50.0,50.0,1.0
2025-02-01,G2,160.0,160.0,1.0
2025-02-01,P3,140.0,140.0,1.0
2025-02-02,G2,215.0,215.0,1.0
2025-02-02,P3,55.0,55.0,1.0
2025-02-02,Q1,41.5,41.5,1.0
2025-02-03,Q1,23.25,23.25,1.0
2025-02-04,G2,121.0,121.0,1.0
2025-02-04,P3,30.0,30.0,1.0
2025-02-04,Q1,108.5,108.5,1.0
2025-02-05,G2,35.0,35.0,1.0
2025-02-05,P3,35.0,35.0,1.0
2025-02-05,Q1,140.5,140.5,1.0
2025-02-06,P3,125.0,125.0,1.0
2025-02-06,Q1,310.75,310.75,1.0
2025-02-07,G2,23.0,23.0,1.0
2025-02-07,Q1,67.0,67.0,1.0
2025-02-08,G2,24.0,24.0,1.0
2025-02-08,P3,30.0,30.0,1.0
2025-02-08,Q1,75.0,75.0,1.0
2025-02-09,G2,51.0,51.0,1.0
2025-02-09,Q1,173.5,173.5,1.0
2025-02-10,G2,58.0,58.0,1.0
2025-02-10,P3,15.0,15.0,1.0
2025-02-11,G2,22.0,22.0,1.0
2025-02-11,P3,15.0,15.0,1.0
2025-02-11,Q1,57.5,57.5,1.0
2025-02-13,P3,55.0,55.0,1.0
2025-02-13,Q1,74.25,74.25,1.0
2025-02-14,G2,135.0,135.0,1.0
2025-02-14,P3,70.0,70.0,1.0
2025-02-14,Q1,124.5,124.5,1.0
2025-02-16,Q1,71.75,71.75,1.0
2025-02-17,G2,57.0,57.0,1.0
2025-02-17,P3,165.0,165.0,1.0
2025-02-17,Q1,37.5,37.5,1.0
2025-02-18,G2,12.0,12.0,1.0
2025-02-18,Q1,166.25,166.25,1.0
2025-02-19,Q1,15.0,15.0,1.0
2025-02-20,G2,87.0,87.0,1.0
2025-02-20,Q1,33.75,33.75,1.0
2025-02-21,G2,107.0,107.0,1.0
2025-02-21,Q1,224.5,224.5,1.0
2025-02-22,P3,30.0,30.0,1.0
2025-02-23,G2,47.0,47.0,1.0
2025-02-24,G2,164.0,164.0,1.0
2025-02-24,Q1,149.75,149.75,1.0
2025-02-25,G2,180.0,180.0,1.0
2025-02-25,P3,40.0,40.0,1.0
2025-02-25,Q1,45.0,45.0,1.0
2025-02-26,P3,170.0,170.0,1.0
2025-02-27,G2,29.0,29.0,1.0
2025-02-27,P3,220.0,220.0,1.0
2025-02-28,G2,57.0,57.0,1.0
2025-02-28,P3,105.0,105.0,1.0
2025-02-28,Q1,239.5,239.5,1.0
2025-03-01,G2,31.0,31.0,1.0
2025-03-01,P3,105.0,105.0,1.0
2025-03-01,Q1,42.5,42.5,1.0
2025-03-02,Q1,22.5,22.5,1.0
2025-03-03,G2,56.0,56.0,1.0
2025-03-03,Q1,104.25,104.25,1.0
2025-03-04,G2,109.0,109.0,1.0
2025-03-04,P3,65.0,65.0,1.0
2025-03-04,Q1,61.0,61.0,1.0
2025-03-05,P3,180.0,180.0,1.0
2025-03-05,Q1,39.0,39.0,1.0
2025-03-06,G2,200.0,200.0,1.0
2025-03-06,P3,50.0,50.0,1.0
2025-03-07,G2,134.0,134.0,1.0
2025-03-07,P3,45.0,45.0,1.0
2025-03-08,Q1,137.0,137.0,1.0
2025-03-09,G2,34.0,34.0,1.0
2025-03-09,Q1,45.0,45.0,1.0
2025-03-10,G2,83.0,83.0,1.0
2025-03-10,P3,160.0,160.0,1.0
2025-03-11,G2,12.0,12.0,1.0
2025-03-11,P3,40.0,40.0,1.0
2025-03-11,Q1,205.0,205.0,1.0
2025-03-12,G2,54.0,54.0,1.0
2025-03-12,Q1,52.0,52.0,1.0
2025-03-13,G2,54.0,54.0,1.0
2025-03-14,G2,40.0,40.0,1.0
2025-03-15,G2,55.0,55.0,1.0
2025-03-15,P3,80.0,80.0,1.0
2025-03-16,P3,40.0,40.0,1.0
2025-03-16,Q1,109.75,109.75,1.0
2025-03-17,G2,96.0,96.0,1.0
2025-03-17,P3,270.0,270.0,1.0
2025-03-17,Q1,280.75,280.75,1.0
2025-03-18,P3,185.0,185.0,1.0
2025-03-18,Q1,76.5,76.5,1.0
2025-03-19,G2,121.0,121.0,1.0
2025-03-19,P3,40.0,40.0,1.0
2025-03-20,G2,186.0,186.0,1.0
2025-03-20,P3,60.0,60.0,1.0
2025-03-20,Q1,36.0,36.0,1.0
2025-03-21,P3,140.0,140.0,1.0
2025-03-21,Q1,91.25,91.25,1.0
2025-03-22,P3,65.0,65.0,1.0
2025-03-22,Q1,133.25,133.25,1.0
2025-03-23,P3,35.0,35.0,1.0
2025-03-24,P3,50.0,50.0,1.0
2025-03-24,Q1,89.5,89.5,1.0
2025-03-25,G2,96.0,96.0,1.0
2025-03-25,P3,80.0,80.0,1.0
2025-03-26,G2,149.0,149.0,1.0
2025-03-26,P3,30.0,30.0,1.0
2025-03-26,Q1,23.25,23.25,1.0
2025-03-27,Q1,46.5,46.5,1.0
2025-03-28,P3,60.0,60.0,1.0
2025-03-28,Q1,37.25,37.25,1.0
2025-03-29,G2,12.0,12.0,1.0
2025-03-30,P3,120.0,120.0,1.0
2025-03-31,G2,46.0,46.0,1.0
2025-03-31,Q1,81.5,81.5,1.0
2025-04-01,Q1,20.25,20.25,1.0
