date,line,orders,orders_otif,gal_ordered,gal_on_time,otif_service_rate,otif_volume_rate
2025-01-01,G2,2,0,249.0,0.0,0.0,0.0
2025-01-01,Q1,3,0,154.5,0.0,0.0,0.0
2025-01-02,Q1,1,1,25.25,25.25,1.0,1.0
2025-01-03,G2,4,4,180.0,180.0,1.0,1.0
2025-01-03,P3,2,2,105.0,105.0,1.0,1.0
2025-01-03,Q1,2,2,34.75,34.75,1.0,1.0
2025-01-04,G2,1,1,65.0,65.0,1.0,1.0
2025-01-04,Q1,1,1,16.5,16.5,1.0,1.0
2025-01-05,P3,2,2,175.0,175.0,1.0,1.0
2025-01-05,Q1,3,3,124.0,124.0,1.0,1.0
2025-01-06,G2,2,2,163.0,163.0,1.0,1.0
2025-01-06,Q1,1,1,22.75,22.75,1.0,1.0
2025-01-07,P3,3,3,85.0,85.0,1.0,1.0
2025-01-08,G2,1,1,147.0,147.0,1.0,1.0
2025-01-08,Q1,5,5,184.5,184.5,1.0,1.0
2025-01-09,G2,1,1,41.0,41.0,1.0,1.0
2025-01-10,G2,3,3,49.0,49.0,1.0,1.0
2025-01-10,P3,1,1,95.0,95.0,1.0,1.0
2025-01-10,Q1,2,2,206.75,206.75,1.0,1.0
2025-01-11,G2,2,2,179.0,179.0,1.0,1.0
2025-01-11,Q1,3,3,176.25,176.25,1.0,1.0
2025-01-12,G2,1,1,68.0,68.0,1.0,1.0
2025-01-13,G2,1,1,12.0,12.0,1.0,1.0
2025-01-13,P3,1,1,15.0,15.0,1.0,1.0
2025-01-14,Q1,1,1,31.5,31.5,1.0,1.0
2025-01-15,P3,1,1,40.0,40.0,1.0,1.0
2025-01-15,Q1,1,1,83.5,83.5,1.0,1.0
2025-01-16,G2,3,3,339.0,339.0,1.0,1.0
2025-01-16,P3,2,2,55.0,55.0,1.0,1.0
2025-01-16,Q1,1,1,81.75,81.75,1.0,1.0
2025-01-17,P3,1,1,15.0,15.0,1.0,1.0
2025-01-17,Q1,1,1,83.25,83.25,1.0,1.0
