date,line,gal_ord,gal_ship,gal_prod,gal_avail,inv_gal_start,backlog_gal_start,fill_rate,weekday,month,gal_ord_1d_lag,gal_prod_1d_lag,gal_avail_1d_lag,gal_ship_1d_lag,inv_gal_start_1d_lag,backlog_gal_start_1d_lag
2025-01-02,G2,56.0,12045.0,45367.450498762664,41523.66204479554,138596.80823683532,137.0,215.08928571428572,3,1,137.0,151596.1839865396,138596.80823683532,0.0,0.0,0.0
2025-01-03,G2,186.0,299.0,104739.00616355636,94418.85774557036,168075.47028163087,0.0,1.60752688172043,4,1,56.0,45367.450498762664,41523.66204479554,12045.0,138596.80823683532,137.0
2025-01-04,G2,117.0,0.0,146837.98104404216,133857.66738007317,262195.32802720123,0.0,0.0,5,1,186.0,104739.00616355636,94418.85774557036,299.0,168075.47028163087,0.0
2025-01-06,G2,119.0,0.0,155094.50090436035,144478.05634913984,519938.2786230815,117.0,0.0,0,1,0.0,135967.07306593316,123885.28321580713,0.0,396052.9954072744,117.0
2025-01-07,G2,93.0,0.0,124392.07687934776,114486.660934643,664416.3349722214,236.0,0.0,1,1,119.0,155094.50090436035,144478.05634913984,0.0,519938.2786230815,117.0
2025-01-08,G2,108.0,0.0,151209.3976766573,137946.9536833976,778902.9959068644,329.0,0.0,2,1,93.0,124392.07687934776,114486.660934643,0.0,664416.3349722214,236.0
2025-01-09,G2,88.0,0.0,136781.85532310937,122150.32695983248,916849.949590262,437.0,0.0,3,1,108.0,151209.3976766573,137946.9536833976,0.0,778902.9959068644,329.0
2025-01-10,G2,348.0,0.0,151507.79988868537,134896.5418810423,1039000.2765500945,525.0,0.0,4,1,88.0,136781.85532310937,122150.32695983248,0.0,916849.949590262,437.0
2025-01-11,G2,69.0,0.0,133492.24714046068,119560.19754031084,1173896.8184311367,873.0,0.0,5,1,348.0,151507.79988868537,134896.5418810423,0.0,1039000.2765500945,525.0
2025-01-12,G2,23.0,0.0,144918.2035905753,134572.61651789863,1293457.0159714476,942.0,0.0,6,1,69.0,133492.24714046068,119560.19754031084,0.0,1173896.8184311367,873.0
2025-01-13,G2,65.0,0.0,165811.1966521722,153105.84305566378,1428029.6324893462,965.0,0.0,0,1,23.0,144918.2035905753,134572.61651789863,0.0,1293457.0159714476,942.0
2025-01-14,G2,292.0,0.0,148001.75760677378,136965.42047845904,1581135.47554501,1030.0,0.0,1,1,65.0,165811.1966521722,153105.84305566378,0.0,1428029.6324893462,965.0
2025-01-15,G2,36.0,0.0,57106.757632545414,52241.51979205192,1718100.896023469,1322.0,0.0,2,1,292.0,148001.75760677378,136965.42047845904,0.0,1581135.47554501,1030.0
2025-01-16,G2,145.0,0.0,126055.46794948055,112788.86834962555,1770342.415815521,1358.0,0.0,3,1,36.0,57106.757632545414,52241.51979205192,0.0,1718100.896023469,1322.0
2025-01-19,G2,83.0,0.0,144764.75477578386,131989.90622853217,2050505.8593938434,1503.0,0.0,6,1,0.0,127621.46983662735,115721.36997894198,0.0,1934784.4894149015,1503.0
2025-01-20,G2,160.0,0.0,170575.08352459857,155460.98410988876,2182495.7656223755,1586.0,0.0,0,1,83.0,144764.75477578386,131989.90622853217,0.0,2050505.8593938434,1503.0
