date,line,hours_planned,hours_down,chg_hours,sanitation_hours,break_hours
2024-11-14,HM01,24.0,3.346,0.778,0.388,1.5
2024-11-14,HM12,24.0,1.213,3.848,0.528,1.5
2024-11-14,HM13,24.0,2.09,3.783,0.785,1.5
2024-11-14,HM14,24.0,5.248,7.173,1.012,1.5
2024-11-14,HM16,24.0,1.382,1.192,0.47,1.5
2024-11-14,HM20,24.0,0.552,0.0,1.25,1.5
2024-11-14,HM25,24.0,0.539,0.6,0.412,1.5
2024-11-14,HM30,24.0,0.58,1.7,0.402,1.5
2024-11-14,HM36,24.0,0.588,0.0,0.863,1.5
2024-11-14,HM43,24.0,1.146,3.758,0.918,1.5
2024-11-14,HM47,24.0,2.042,0.622,0.373,1.5
2024-11-14,HM50,24.0,0.569,2.036,0.592,1.5
2024-11-14,HM56,24.0,0.765,2.252,0.307,1.5
2024-11-15,HM01,24.0,0.677,1.508,0.288,1.5
2024-11-15,HM12,24.0,0.771,3.499,0.255,1.5
2024-11-15,HM13,24.0,0.731,2.929,0.451,1.5
2024-11-15,HM14,24.0,1.404,1.325,1.113,1.5
2024-11-15,HM16,24.0,0.676,1.378,0.463,1.5
2024-11-15,HM20,24.0,0.833,0.0,0.461,1.5
2024-11-15,HM25,24.0,0.654,1.918,0.534,1.5
2024-11-15,HM30,24.0,1.891,2.221,0.355,1.5
2024-11-15,HM36,24.0,0.657,0.444,0.46,1.5
2024-11-15,HM43,24.0,0.587,1.502,0.276,1.5
2024-11-15,HM47,24.0,0.891,3.183,1.141,1.5
2024-11-15,HM50,24.0,0.61,0.246,0.363,1.5
2024-11-15,HM56,24.0,1.449,1.482,0.526,1.5
2024-11-16,HM01,24.0,0.869,0.73,0.362,1.0
2024-11-16,HM12,24.0,0.717,4.106,1.431,1.0
2024-11-16,HM13,24.0,1.155,1.175,0.235,1.0
2024-11-16,HM14,24.0,1.902,0.885,0.569,1.0
2024-11-16,HM16,24.0,0.421,1.172,0.852,1.0
2024-11-16,HM20,24.0,0.893,0.187,0.573,1.0
2024-11-16,HM25,24.0,1.53,0.0,0.53,1.0
2024-11-16,HM30,24.0,0.742,2.737,0.679,1.0
2024-11-16,HM36,24.0,0.876,0.56,0.58,1.0
2024-11-16,HM43,24.0,0.696,3.049,0.411,1.0
2024-11-16,HM47,24.0,1.368,0.559,0.589,1.0
2024-11-16,HM50,24.0,0.643,0.0,0.288,1.0
2024-11-16,HM56,24.0,1.229,0.498,0.567,1.0
2024-11-17,HM01,24.0,0.449,3.668,0.612,1.0
2024-11-17,HM12,24.0,0.737,2.41,0.821,1.0
2024-11-17,HM13,24.0,0.443,4.222,0.688,1.0
2024-11-17,HM14,24.0,1.258,1.612,0.245,1.0
2024-11-17,HM16,24.0,6.157,2.148,0.955,1.0
2024-11-17,HM20,24.0,0.88,1.416,1.071,1.0
2024-11-17,HM25,24.0,0.523,0.439,0.47,1.0
2024-11-17,HM30,24.0,1.3,1.058,0.864,1.0
2024-11-17,HM36,24.0,2.249,1.563,0.532,1.0
2024-11-17,HM43,24.0,0.91,1.505,0.439,1.0
2024-11-17,HM47,24.0,0.13,0.0,0.248,1.0
2024-11-17,HM50,24.0,0.766,1.908,0.742,1.0
2024-11-17,HM56,24.0,0.362,0.864,0.282,1.0
2024-11-18,HM01,24.0,1.399,3.167,0.618,1.5
2024-11-18,HM12,24.0,0.948,1.821,0.722,1.5
2024-11-18,HM13,24.0,0.808,1.553,0.732,1.5
2024-11-18,HM14,24.0,0.62,3.381,0.688,1.5
2024-11-18,HM16,24.0,1.072,0.542,0.7,1.5
2024-11-18,HM20,24.0,0.686,1.856,0.275,1.5
2024-11-18,HM25,24.0,0.799,7.2,0.547,1.5
2024-11-18,HM30,24.0,1.351,1.647,0.254,1.5
2024-11-18,HM36,24.0,0.987,1.882,0.616,1.5
2024-11-18,HM43,24.0,0.715,2.235,0.497,1.5
2024-11-18,HM47,24.0,1.148,6.993,0.832,1.5
2024-11-18,HM50,24.0,0.484,1.145,0.413,1.5
2024-11-18,HM56,24.0,0.877,2.531,0.737,1.5
2024-11-19,HM01,24.0,1.886,1.734,0.446,1.5
2024-11-19,HM12,24.0,0.251,0.982,0.677,1.5
2024-11-19,HM13,24.0,1.45,1.341,0.142,1.5
2024-11-19,HM14,24.0,0.623,2.056,0.406,1.5
2024-11-19,HM16,24.0,1.357,1.599,1.012,1.5
2024-11-19,HM20,24.0,1.344,0.272,0.578,1.5
2024-11-19,HM25,24.0,1.828,0.665,0.345,1.5
2024-11-19,HM30,24.0,0.81,4.031,0.551,1.5
2024-11-19,HM36,24.0,0.553,7.2,0.403,1.5
2024-11-19,HM43,24.0,2.159,1.844,0.393,1.5
2024-11-19,HM47,24.0,0.181,0.957,0.268,1.5
2024-11-19,HM50,24.0,1.965,0.181,0.691,1.5
2024-11-19,HM56,24.0,1.577,0.636,0.332,1.5
2024-11-20,HM01,24.0,0.499,0.987,1.317,1.5
2024-11-20,HM12,24.0,0.771,1.733,0.582,1.5
2024-11-20,HM13,24.0,1.542,0.809,0.642,1.5
2024-11-20,HM14,24.0,0.717,2.941,0.431,1.5
2024-11-20,HM16,24.0,0.79,4.664,0.247,1.5
2024-11-20,HM20,24.0,0.503,0.711,0.659,1.5
2024-11-20,HM25,24.0,0.335,0.0,0.779,1.5
2024-11-20,HM30,24.0,0.594,1.91,0.237,1.5
2024-11-20,HM36,24.0,1.525,2.758,0.362,1.5
2024-11-20,HM43,24.0,0.734,1.802,0.378,1.5
2024-11-20,HM47,24.0,1.4,2.314,0.594,1.5
2024-11-20,HM50,24.0,1.06,0.849,0.819,1.5
2024-11-20,HM56,24.0,0.468,1.72,0.468,1.5
2024-11-21,HM01,24.0,1.041,3.168,0.381,1.5
2024-11-21,HM12,24.0,1.036,7.2,0.7,1.5
2024-11-21,HM13,24.0,1.78,1.213,0.9,1.5
2024-11-21,HM14,24.0,0.991,1.784,0.793,1.5
2024-11-21,HM16,24.0,0.536,3.612,0.341,1.5
2024-11-21,HM20,24.0,0.726,1.066,0.289,1.5
2024-11-21,HM25,24.0,1.115,0.51,0.511,1.5
2024-11-21,HM30,24.0,0.579,3.651,0.375,1.5
2024-11-21,HM36,24.0,0.818,1.588,0.6,1.5
2024-11-21,HM43,24.0,1.179,0.58,0.35,1.5
2024-11-21,HM47,24.0,1.183,1.048,0.505,1.5
2024-11-21,HM50,24.0,0.302,5.531,0.474,1.5
2024-11-21,HM56,24.0,1.792,2.519,0.195,1.5
2024-11-22,HM01,24.0,0.371,1.545,0.358,1.5
2024-11-22,HM12,24.0,0.507,1.792,0.72,1.5
2024-11-22,HM13,24.0,1.706,0.603,0.206,1.5
2024-11-22,HM14,24.0,1.133,2.692,0.808,1.5
2024-11-22,HM16,24.0,5.188,2.093,0.607,1.5
2024-11-22,HM20,24.0,0.914,1.203,0.354,1.5
2024-11-22,HM25,24.0,1.433,1.233,0.391,1.5
2024-11-22,HM30,24.0,0.622,3.284,0.852,1.5
2024-11-22,HM36,24.0,0.555,1.853,0.4,1.5
2024-11-22,HM43,24.0,0.59,0.915,0.3,1.5
2024-11-22,HM47,24.0,0.616,2.205,0.568,1.5
2024-11-22,HM50,24.0,2.913,2.525,0.777,1.5
2024-11-22,HM56,24.0,3.103,7.111,0.22,1.5
2024-11-23,HM01,24.0,0.309,4.599,0.328,1.0
2024-11-23,HM12,24.0,0.663,2.489,0.39,1.0
2024-11-23,HM13,24.0,1.3,2.263,0.459,1.0
2024-11-23,HM14,24.0,0.793,2.002,1.131,1.0
2024-11-23,HM16,24.0,1.079,2.145,0.67,1.0
2024-11-23,HM20,24.0,1.084,0.839,0.711,1.0
2024-11-23,HM25,24.0,0.683,1.042,0.334,1.0
2024-11-23,HM30,24.0,6.241,1.542,0.163,1.0
2024-11-23,HM36,24.0,0.43,1.084,0.304,1.0
2024-11-23,HM43,24.0,0.946,4.329,0.756,1.0
2024-11-23,HM47,24.0,0.434,1.309,0.837,1.0
2024-11-23,HM50,24.0,0.727,0.816,0.335,1.0
2024-11-23,HM56,24.0,2.011,2.555,0.452,1.0
2024-11-24,HM01,24.0,1.105,5.501,0.443,1.0
2024-11-24,HM12,24.0,1.714,0.62,0.415,1.0
2024-11-24,HM13,24.0,1.906,4.27,0.865,1.0
2024-11-24,HM14,24.0,0.696,2.997,0.825,1.0
2024-11-24,HM16,24.0,1.143,1.754,0.877,1.0
