date,line,minutes
2024-11-14,HM01,48.2
2024-11-14,HM12,29.0
2024-11-14,HM12,32.0
2024-11-14,HM12,35.8
2024-11-14,HM12,29.9
2024-11-14,HM12,32.2
2024-11-14,HM12,32.5
2024-11-14,HM12,36.9
2024-11-14,HM13,41.4
2024-11-14,HM13,38.6
2024-11-14,HM13,39.5
2024-11-14,HM13,37.6
2024-11-14,HM13,37.3
2024-11-14,HM13,38.7
2024-11-14,HM14,35.5
2024-11-14,HM14,31.5
2024-11-14,HM14,33.9
2024-11-14,HM14,35.8
2024-11-14,HM14,35.8
2024-11-14,HM14,32.7
2024-11-14,HM14,37.8
2024-11-14,HM14,34.9
2024-11-14,HM14,35.4
2024-11-14,HM14,37.0
2024-11-14,HM14,34.4
2024-11-14,HM14,36.6
2024-11-14,HM16,34.3
2024-11-14,HM16,38.1
2024-11-14,HM25,38.1
2024-11-14,HM30,36.3
2024-11-14,HM30,33.3
2024-11-14,HM30,33.2
2024-11-14,HM43,32.3
2024-11-14,HM43,36.9
2024-11-14,HM43,36.3
2024-11-14,HM43,35.8
2024-11-14,HM43,38.5
2024-11-14,HM43,35.9
2024-11-14,HM47,37.5
2024-11-14,HM50,37.5
2024-11-14,HM50,42.1
2024-11-14,HM50,39.7
2024-11-14,HM56,35.5
2024-11-14,HM56,34.8
2024-11-14,HM56,33.3
2024-11-14,HM56,35.9
2024-11-15,HM01,27.0
2024-11-15,HM01,31.9
2024-11-15,HM01,28.6
2024-11-15,HM12,30.8
2024-11-15,HM12,35.4
2024-11-15,HM12,34.1
2024-11-15,HM12,34.2
2024-11-15,HM12,37.6
2024-11-15,HM12,32.8
2024-11-15,HM13,35.1
2024-11-15,HM13,37.1
2024-11-15,HM13,34.6
2024-11-15,HM13,33.7
2024-11-15,HM13,32.6
2024-11-15,HM14,38.4
2024-11-15,HM14,39.2
2024-11-15,HM16,43.6
2024-11-15,HM16,42.2
2024-11-15,HM25,37.7
2024-11-15,HM25,37.2
2024-11-15,HM25,40.1
2024-11-15,HM30,32.1
2024-11-15,HM30,30.1
2024-11-15,HM30,28.8
2024-11-15,HM30,34.4
2024-11-15,HM36,23.7
2024-11-15,HM43,27.6
2024-11-15,HM43,29.7
2024-11-15,HM43,27.9
2024-11-15,HM47,40.0
2024-11-15,HM47,39.0
2024-11-15,HM47,40.5
2024-11-15,HM47,34.0
2024-11-15,HM47,37.0
2024-11-15,HM50,15.4
2024-11-15,HM56,29.6
