date,line,hours_down,code
2024-11-14,HM01,3.346,MECH
2024-11-14,HM12,1.213,PLANNED_PM
2024-11-14,HM13,2.09,PLANNED_PM
2024-11-14,HM14,5.248,MECH
2024-11-14,HM16,1.382,OPERATOR
2024-11-14,HM20,0.552,MATERIAL
2024-11-14,HM25,0.539,PLANNED_PM
2024-11-14,HM30,0.58,OPERATOR
2024-11-14,HM36,0.588,MATERIAL
2024-11-14,HM43,1.146,MECH
2024-11-14,HM47,2.042,MECH
2024-11-14,HM50,0.569,MECH
2024-11-14,HM56,0.765,ELEC
2024-11-15,HM01,0.677,OPERATOR
2024-11-15,HM12,0.771,OPERATOR
2024-11-15,HM13,0.731,OPERATOR
2024-11-15,HM14,1.404,MATERIAL
2024-11-15,HM16,0.676,OPERATOR
2024-11-15,HM20,0.833,MATERIAL
2024-11-15,HM25,0.654,OPERATOR
2024-11-15,HM30,1.891,MATERIAL
2024-11-15,HM36,0.657,MECH
2024-11-15,HM43,0.587,PLANNED_PM
2024-11-15,HM47,0.891,PLANNED_PM
2024-11-15,HM50,0.61,MECH
2024-11-15,HM56,1.449,MECH
2024-11-16,HM01,0.869,MATERIAL
2024-11-16,HM12,0.717,PLANNED_PM
2024-11-16,HM13,1.155,PLANNED_PM
2024-11-16,HM14,1.902,MECH
2024-11-16,HM16,0.421,MECH
2024-11-16,HM20,0.893,ELEC
2024-11-16,HM25,1.53,ELEC
2024-11-16,HM30,0.742,OPERATOR
2024-11-16,HM36,0.876,ELEC
2024-11-16,HM43,0.696,ELEC
2024-11-16,HM47,1.368,PLANNED_PM
2024-11-16,HM50,0.643,MATERIAL
2024-11-16,HM56,1.229,PLANNED_PM
2024-11-17,HM01,0.449,MECH
2024-11-17,HM12,0.737,PLANNED_PM
2024-11-17,HM13,0.443,ELEC
2024-11-17,HM14,1.258,MATERIAL
2024-11-17,HM16,6.157,MATERIAL
2024-11-17,HM20,0.88,MECH
2024-11-17,HM25,0.523,MATERIAL
2024-11-17,HM30,1.3,MECH
2024-11-17,HM36,2.249,ELEC
2024-11-17,HM43,0.91,OPERATOR
2024-11-17,HM47,0.13,ELEC
2024-11-17,HM50,0.766,MATERIAL
2024-11-17,HM56,0.362,ELEC
2024-11-18,HM01,1.399,OPERATOR
2024-11-18,HM12,0.948,OPERATOR
2024-11-18,HM13,0.808,ELEC
2024-11-18,HM14,0.62,ELEC
2024-11-18,HM16,1.072,OPERATOR
2024-11-18,HM20,0.686,MATERIAL
2024-11-18,HM25,0.799,OPERATOR
2024-11-18,HM30,1.351,PLANNED_PM
