order_id,order_date,due_date,hsd_code,color_family,container_type,sku,units_ordered,gallons_ordered
1,2024-11-14,2024-11-22,HM01,White,pail_5gal,Duration-White-Pail,1,5.0
2,2024-11-14,2024-11-15,HM01,White,quart,Duration-White-Quart,169,42.25
3,2024-11-14,2024-11-16,HM01,White,gallon,Duration-White-Gallon,55,55.0
4,2024-11-14,2024-11-15,HM01,White,gallon,ProMar200-White-Gallon,58,58.0
5,2024-11-14,2024-11-16,HM01,White,quart,ProMar200-White-Quart,106,26.5
6,2024-11-14,2024-11-16,HM01,White,quart,Duration-White-Quart,141,35.25
7,2024-11-14,2024-11-15,HM13,Blue/Green,quart,SuperPaint-Blue/Green-Quart,121,30.25
8,2024-11-14,2024-11-20,HM13,Blue/Green,quart,SuperPaint-Blue/Green-Quart,57,14.25
9,2024-11-14,2024-11-16,HM13,Blue/Green,quart,Emerald-Blue/Green-Quart,59,14.75
10,2024-11-14,2024-11-16,HM13,Blue/Green,quart,SuperPaint-Blue/Green-Quart,30,7.5
11,2024-11-14,2024-11-17,HM13,Blue/Green,quart,Emerald-Blue/Green-Quart,110,27.5
12,2024-11-14,2024-11-16,HM14,Blue/Green,gallon,SuperPaint-Blue/Green-Gallon,111,111.0
13,2024-11-14,2024-11-18,HM14,Blue/Green,gallon,SuperPaint-Blue/Green-Gallon,12,12.0
14,2024-11-14,2024-11-16,HM14,Blue/Green,quart,SuperPaint-Blue/Green-Quart,71,17.75
15,2024-11-14,2024-11-25,HM14,Blue/Green,quart,Emerald-Blue/Green-Quart,196,49.0
16,2024-11-14,2024-11-21,HM14,Blue/Green,gallon,SuperPaint-Blue/Green-Gallon,27,27.0
17,2024-11-14,2024-11-15,HM16,Red,pail_5gal,Duration-Red-Pail,3,15.0
18,2024-11-14,2024-11-18,HM16,Red,quart,Duration-Red-Quart,85,21.25
19,2024-11-14,2024-11-16,HM16,Red,quart,Duration-Red-Quart,30,7.5
20,2024-11-14,2024-11-18,HM16,Red,pail_5gal,Emerald-Red-Pail,9,45.0
21,2024-11-14,2024-11-16,HM20,Black,gallon,PrepRite-Black-Gallon,28,28.0
22,2024-11-14,2024-11-20,HM25,Black,quart,ProMar200-Black-Quart,462,115.5
23,2024-11-14,2024-11-17,HM25,Black,pail_5gal,ProMar200-Black-Pail,7,35.0
24,2024-11-14,2024-11-16,HM25,Black,pail_5gal,ProMar200-Black-Pail,5,25.0
25,2024-11-14,2024-11-15,HM25,Black,gallon,ProMar200-Black-Gallon,68,68.0
26,2024-11-14,2024-11-19,HM36,White,pail_5gal,Duration-White-Pail,3,15.0
27,2024-11-14,2024-11-19,HM36,White,pail_5gal,Duration-White-Pail,10,50.0
28,2024-11-14,2024-11-16,HM50,Clear,quart,ProMar200-Clear-Quart,68,17.0
29,2024-11-14,2024-11-25,HM50,Clear,gallon,SuperPaint-Clear-Gallon,12,12.0
30,2024-11-14,2024-11-17,HM56,White,quart,Duration-White-Quart,127,31.75
31,2024-11-15,2024-11-18,HM01,White,quart,ProMar200-White-Quart,94,23.5
32,2024-11-15,2024-11-18,HM01,White,quart,SuperPaint-White-Quart,131,32.75
33,2024-11-15,2024-11-16,HM13,Blue/Green,gallon,SuperPaint-Blue/Green-Gallon,34,34.0
34,2024-11-15,2024-11-18,HM14,Blue/Green,pail_5gal,SuperPaint-Blue/Green-Pail,12,60.0
35,2024-11-15,2024-11-19,HM14,Blue/Green,gallon,Emerald-Blue/Green-Gallon,50,50.0
36,2024-11-15,2024-11-18,HM16,Red,pail_5gal,Emerald-Red-Pail,4,20.0
37,2024-11-15,2024-11-16,HM20,Black,quart,PrepRite-Black-Quart,47,11.75
38,2024-11-15,2024-11-19,HM20,Black,quart,ProMar200-Black-Quart,60,15.0
39,2024-11-15,2024-11-17,HM25,Black,gallon,PrepRite-Black-Gallon,33,33.0
40,2024-11-15,2024-11-16,HM25,Black,quart,ProMar200-Black-Quart,84,21.0
41,2024-11-15,2024-11-20,HM25,Black,quart,ProMar200-Black-Quart,110,27.5
42,2024-11-15,2024-11-21,HM30,Black,pail_5gal,ProMar200-Black-Pail,7,35.0
43,2024-11-15,2024-11-16,HM36,White,quart,Duration-White-Quart,197,49.25
44,2024-11-15,2024-11-19,HM43,Red,pail_5gal,Emerald-Red-Pail,9,45.0
45,2024-11-15,2024-11-17,HM47,Red,pail_5gal,Duration-Red-Pail,7,35.0
46,2024-11-15,2024-11-20,HM50,Clear,quart,ProMar200-Clear-Quart,164,41.0
47,2024-11-15,2024-11-21,HM56,White,quart,SuperPaint-White-Quart,268,67.0
48,2024-11-15,2024-11-18,HM56,White,quart,SuperPaint-White-Quart,167,41.75
49,2024-11-15,2024-11-16,HM56,White,quart,SuperPaint-White-Quart,58,14.5
50,2024-11-15,2024-11-18,HM56,White,gallon,ProMar200-White-Gallon,27,27.0
51,2024-11-15,2024-11-16,HM56,White,pail_5gal,Duration-White-Pail,4,20.0
52,2024-11-16,2024-11-17,HM01,White,quart,ProMar200-White-Quart,168,42.0
53,2024-11-16,2024-11-19,HM01,White,quart,ProMar200-White-Quart,313,78.25
54,2024-11-16,2024-11-19,HM14,Blue/Green,gallon,Emerald-Blue/Green-Gallon,43,43.0
55,2024-11-16,2024-11-23,HM16,Red,pail_5gal,Emerald-Red-Pail,14,70.0
56,2024-11-16,2024-11-21,HM16,Red,gallon,Emerald-Red-Gallon,26,26.0
57,2024-11-16,2024-11-19,HM20,Black,quart,ProMar200-Black-Quart,76,19.0
58,2024-11-16,2024-11-19,HM20,Black,quart,ProMar200-Black-Quart,110,27.5
59,2024-11-16,2024-11-22,HM20,Black,gallon,ProMar200-Black-Gallon,36,36.0
60,2024-11-16,2024-11-19,HM25,Black,gallon,PrepRite-Black-Gallon,107,107.0
61,2024-11-16,2024-11-18,HM25,Black,gallon,PrepRite-Black-Gallon,141,141.0
62,2024-11-16,2024-11-19,HM47,Red,pail_5gal,Emerald-Red-Pail,10,50.0
63,2024-11-16,2024-11-20,HM47,Red,pail_5gal,Duration-Red-Pail,8,40.0
64,2024-11-16,2024-11-17,HM50,Clear,quart,ProMar200-Clear-Quart,66,16.5
65,2024-11-17,2024-11-20,HM01,White,quart,Duration-White-Quart,56,14.0
66,2024-11-17,2024-11-20,HM01,White,quart,Duration-White-Quart,163,40.75
67,2024-11-17,2024-11-19,HM14,Blue/Green,gallon,SuperPaint-Blue/Green-Gallon,14,14.0
68,2024-11-17,2024-11-22,HM16,Red,gallon,Duration-Red-Gallon,34,34.0
69,2024-11-17,2024-11-21,HM16,Red,pail_5gal,Emerald-Red-Pail,4,20.0
70,2024-11-17,2024-11-19,HM20,Black,gallon,ProMar200-Black-Gallon,48,48.0
71,2024-11-17,2024-11-21,HM20,Black,quart,PrepRite-Black-Quart,27,6.75
72,2024-11-17,2024-11-18,HM25,Black,quart,ProMar200-Black-Quart,233,58.25
73,2024-11-17,2024-11-18,HM25,Black,quart,ProMar200-Black-Quart,132,33.0
74,2024-11-17,2024-11-21,HM25,Black,gallon,ProMar200-Black-Gallon,33,33.0
75,2024-11-17,2024-11-18,HM25,Black,quart,PrepRite-Black-Quart,159,39.75
76,2024-11-17,2024-11-20,HM30,Black,pail_5gal,ProMar200-Black-Pail,11,55.0
77,2024-11-17,2024-11-18,HM36,White,gallon,SuperPaint-White-Gallon,11,11.0
78,2024-11-17,2024-11-18,HM43,Red,gallon,Duration-Red-Gallon,90,90.0
79,2024-11-17,2024-11-19,HM47,Red,quart,Duration-Red-Quart,36,9.0
80,2024-11-17,2024-11-18,HM47,Red,gallon,Emerald-Red-Gallon,25,25.0
81,2024-11-17,2024-11-20,HM50,Clear,quart,ProMar200-Clear-Quart,80,20.0
82,2024-11-17,2024-11-23,HM56,White,gallon,SuperPaint-White-Gallon,40,40.0
83,2024-11-17,2024-11-18,HM56,White,gallon,SuperPaint-White-Gallon,92,92.0
84,2024-11-17,2024-11-18,HM56,White,pail_5gal,Duration-White-Pail,10,50.0
85,2024-11-18,2024-11-19,HM01,White,quart,ProMar200-White-Quart,100,25.0
86,2024-11-18,2024-11-19,HM01,White,quart,ProMar200-White-Quart,105,26.25
87,2024-11-18,2024-11-20,HM01,White,quart,Duration-White-Quart,50,12.5
88,2024-11-18,2024-11-21,HM13,Blue/Green,gallon,SuperPaint-Blue/Green-Gallon,67,67.0
89,2024-11-18,2024-11-20,HM20,Black,gallon,PrepRite-Black-Gallon,27,27.0
90,2024-11-18,2024-11-22,HM20,Black,gallon,ProMar200-Black-Gallon,85,85.0
91,2024-11-18,2024-11-29,HM25,Black,quart,ProMar200-Black-Quart,109,27.25
92,2024-11-18,2024-11-22,HM25,Black,pail_5gal,ProMar200-Black-Pail,3,15.0
93,2024-11-18,2024-11-23,HM43,Red,gallon,Emerald-Red-Gallon,13,13.0
94,2024-11-18,2024-11-27,HM43,Red,quart,Duration-Red-Quart,60,15.0
95,2024-11-18,2024-11-22,HM43,Red,pail_5gal,Duration-Red-Pail,6,30.0
96,2024-11-18,2024-11-25,HM47,Red,gallon,Duration-Red-Gallon,57,57.0
97,2024-11-18,2024-11-26,HM47,Red,gallon,Duration-Red-Gallon,9,9.0
98,2024-11-18,2024-11-22,HM56,White,pail_5gal,SuperPaint-White-Pail,9,45.0
99,2024-11-19,2024-11-24,HM12,Blue/Green,quart,Emerald-Blue/Green-Quart,247,61.75
100,2024-11-19,2024-11-21,HM12,Blue/Green,gallon,SuperPaint-Blue/Green-Gallon,70,70.0
101,2024-11-19,2024-11-20,HM13,Blue/Green,pail_5gal,Emerald-Blue/Green-Pail,13,65.0
102,2024-11-19,2024-11-22,HM14,Blue/Green,gallon,SuperPaint-Blue/Green-Gallon,19,19.0
103,2024-11-19,2024-11-20,HM14,Blue/Green,quart,SuperPaint-Blue/Green-Quart,78,19.5
104,2024-11-19,2024-11-20,HM14,Blue/Green,quart,Emerald-Blue/Green-Quart,158,39.5
105,2024-11-19,2024-11-20,HM14,Blue/Green,quart,SuperPaint-Blue/Green-Quart,150,37.5
106,2024-11-19,2024-11-21,HM20,Black,quart,ProMar200-Black-Quart,82,20.5
107,2024-11-19,2024-11-21,HM25,Black,gallon,PrepRite-Black-Gallon,34,34.0
108,2024-11-19,2024-11-23,HM25,Black,pail_5gal,ProMar200-Black-Pail,3,15.0
109,2024-11-19,2024-11-20,HM30,Black,quart,PrepRite-Black-Quart,134,33.5
110,2024-11-19,2024-11-23,HM36,White,quart,SuperPaint-White-Quart,146,36.5
111,2024-11-19,2024-11-23,HM36,White,quart,ProMar200-White-Quart,154,38.5
112,2024-11-19,2024-11-20,HM43,Red,gallon,Emerald-Red-Gallon,51,51.0
113,2024-11-19,2024-11-22,HM43,Red,pail_5gal,Emerald-Red-Pail,3,15.0
114,2024-11-19,2024-11-25,HM43,Red,gallon,Duration-Red-Gallon,32,32.0
115,2024-11-19,2024-11-20,HM47,Red,pail_5gal,Duration-Red-Pail,23,115.0
