batch_id,date,line,sku,color_family,wc_grade,container_type,product_line,complexity,run_hours,good_units,good_gallons,gallons_per_unit,yield_loss_frac,cfr_uh_batch,cfr_gal_hr,temperature_f,defect_flag
1,2024-11-14,HM01,Duration-White-Gallon,White,6A,gallon,Duration,standard,2.5227,42.33,42.334,1.0,0.0296,17.294,17.294,84.6,0
2,2024-11-14,HM01,Duration-White-Pail,White,6A,pail_5gal,Duration,standard,2.0089,9.93,49.647,5.0,0.0451,5.176,25.882,84.6,0
3,2024-11-14,HM01,SuperPaint-White-Gallon,White,6A,gallon,SuperPaint,standard,1.5296,21.51,21.512,1.0,0.0562,14.901,14.901,84.6,0
4,2024-11-14,HM01,SuperPaint-White-Quart,White,6A,quart,SuperPaint,standard,2.3486,46.62,11.655,0.25,0.0177,20.207,5.052,84.6,0
5,2024-11-14,HM01,ProMar200-White-Gallon,White,6A,gallon,ProMar200,standard,0.8259,18.15,18.15,1.0,0.0424,22.95,22.95,84.6,0
6,2024-11-14,HM12,SuperPaint-Blue/Green-Quart,Blue/Green,7A,quart,SuperPaint,complex,5.0577,97.53,24.383,0.25,0.0039,19.36,4.84,84.6,0
7,2024-11-14,HM12,Emerald-Blue/Green-Gallon,Blue/Green,7A,gallon,Emerald,complex,2.6585,44.76,44.759,1.0,0.0225,17.224,17.224,84.6,0
8,2024-11-14,HM13,SuperPaint-Blue/Green-Gallon,Blue/Green,7A,gallon,SuperPaint,complex,2.4399,33.87,33.872,1.0,0.0317,14.337,14.337,84.6,0
9,2024-11-14,HM13,Emerald-Blue/Green-Quart,Blue/Green,7A,quart,Emerald,complex,2.6526,65.08,16.269,0.25,0.0145,24.895,6.224,84.6,0
10,2024-11-14,HM13,Emerald-Blue/Green-Quart,Blue/Green,7A,quart,Emerald,complex,2.2857,45.23,11.308,0.25,0.0434,20.688,5.172,84.6,0
11,2024-11-14,HM14,SuperPaint-Blue/Green-Quart,Blue/Green,7A,quart,SuperPaint,complex,2.3325,47.72,11.929,0.25,0.0161,20.791,5.198,84.6,0
12,2024-11-14,HM14,SuperPaint-Blue/Green-Quart,Blue/Green,7A,quart,SuperPaint,complex,2.5325,59.19,14.798,0.25,0.0566,24.775,6.194,84.6,0
13,2024-11-14,HM16,Duration-Red-Gallon,Red,7B,gallon,Duration,standard,1.577,22.36,22.356,1.0,0.0341,14.677,14.677,84.6,0
14,2024-11-14,HM16,Emerald-Red-Quart,Red,7B,quart,Emerald,standard,1.0492,21.5,5.376,0.25,0.0252,21.025,5.256,84.6,0
15,2024-11-14,HM16,Duration-Red-Quart,Red,7B,quart,Duration,standard,2.963,65.0,16.249,0.25,0.0299,22.612,5.653,84.6,0
16,2024-11-14,HM16,Emerald-Red-Gallon,Red,7B,gallon,Emerald,standard,1.906,30.64,30.641,1.0,0.0507,16.934,16.934,84.6,0
17,2024-11-14,HM16,Emerald-Red-Quart,Red,7B,quart,Emerald,standard,1.3148,31.42,7.855,0.25,0.0317,24.681,6.17,84.6,0
18,2024-11-14,HM20,ProMar200-Black-Pail,Black,5A,pail_5gal,ProMar200,standard,2.1892,11.14,55.721,5.0,0.0327,5.262,26.312,84.6,0
19,2024-11-14,HM20,PrepRite-Black-Gallon,Black,5A,gallon,PrepRite,standard,0.5268,8.48,8.482,1.0,0.0377,16.733,16.733,84.6,0
20,2024-11-14,HM20,PrepRite-Black-Pail,Black,5A,pail_5gal,PrepRite,standard,2.11,8.01,40.027,5.0,0.0517,4.001,20.003,84.6,0
21,2024-11-14,HM20,ProMar200-Black-Quart,Black,5A,quart,ProMar200,standard,1.5235,32.6,8.15,0.25,0.0487,22.494,5.623,84.6,0
22,2024-11-14,HM25,PrepRite-Black-Gallon,Black,5A,gallon,PrepRite,standard,5.4744,83.73,83.734,1.0,0.0372,15.886,15.886,84.6,0
23,2024-11-14,HM25,PrepRite-Black-Pail,Black,5A,pail_5gal,PrepRite,standard,2.4996,13.63,68.143,5.0,0.0398,5.678,28.39,84.6,0
24,2024-11-14,HM25,ProMar200-Black-Gallon,Black,5A,gallon,ProMar200,standard,1.4458,21.03,21.028,1.0,0.0192,14.829,14.829,84.6,0
25,2024-11-14,HM25,ProMar200-Black-Quart,Black,5A,quart,ProMar200,standard,1.8672,37.67,9.416,0.25,0.0203,20.59,5.148,84.6,0
26,2024-11-14,HM30,PrepRite-Black-Gallon,Black,5A,gallon,PrepRite,standard,6.0012,68.33,68.329,1.0,0.1456,13.327,13.327,84.6,1
27,2024-11-14,HM30,PrepRite-Black-Pail,Black,5A,pail_5gal,PrepRite,standard,2.1443,10.38,51.895,5.0,0.0408,5.046,25.231,84.6,0
28,2024-11-14,HM30,PrepRite-Black-Gallon,Black,5A,gallon,PrepRite,standard,1.6788,27.77,27.772,1.0,0.0454,17.331,17.331,84.6,0
29,2024-11-14,HM36,ProMar200-White-Quart,White,6A,quart,ProMar200,standard,2.464,49.66,12.416,0.25,0.0384,20.962,5.241,84.6,0
30,2024-11-14,HM36,Duration-White-Gallon,White,6A,gallon,Duration,standard,1.9984,28.14,28.144,1.0,0.0466,14.771,14.771,84.6,0
31,2024-11-14,HM36,Duration-White-Gallon,White,6A,gallon,Duration,standard,2.2718,42.44,42.437,1.0,0.0114,18.894,18.894,84.6,0
32,2024-11-14,HM36,ProMar200-White-Gallon,White,6A,gallon,ProMar200,standard,1.1012,14.66,14.659,1.0,0.0202,13.588,13.588,84.6,0
