date,line,planned_capacity_units
2026-05-15,HM01,274.09872886142085
2026-05-16,HM01,275.91567123195296
2026-05-17,HM01,274.4771487535605
2026-05-18,HM01,273.9958123152133
2026-05-19,HM01,274.94937753269926
2026-05-20,HM01,277.61994880364057
2026-05-21,HM01,275.7958542708243
2026-05-22,HM01,274.343764042576
2026-05-23,HM01,275.9481393515638
2026-05-24,HM01,275.04077844371477
2026-05-25,HM01,273.9720634798076
2026-05-26,HM01,273.01332617087934
2026-05-27,HM01,275.56352663656924
2026-05-28,HM01,274.5714845489914
2026-05-29,HM01,274.45526146844696
2026-05-30,HM01,273.05255650254173
2026-05-31,HM01,274.412685015422
2026-06-01,HM01,273.4374846438694
2026-06-02,HM01,275.74664377462227
2026-06-03,HM01,274.28994227396817
2026-06-04,HM01,273.66831189605557
2026-06-05,HM01,275.03005792462733
2026-06-06,HM01,274.0853399538681
2026-06-07,HM01,275.492098999952
2026-06-08,HM01,274.8778519653757
2026-06-09,HM01,274.87731168130307
2026-06-10,HM01,274.0677085118957
2026-06-11,HM01,274.67931037231267
2026-06-12,HM01,273.3983207086272
2026-06-13,HM01,276.80266718231786
2026-05-15,HM12,254.520894759051
2026-05-16,HM12,253.35386827502066
2026-05-17,HM12,250.4546960627345
2026-05-18,HM12,250.39719030144227
2026-05-19,HM12,251.1169284861561
2026-05-20,HM12,249.5083074513618
2026-05-21,HM12,252.4094566986765
2026-05-22,HM12,250.7888869222954
2026-05-23,HM12,249.79274867180732
2026-05-24,HM12,252.11396887007095
2026-05-25,HM12,251.68461959934083
2026-05-26,HM12,251.61469534038076
2026-05-27,HM12,251.4745311210432
2026-05-28,HM12,248.8821694930504
2026-05-29,HM12,251.55219124425116
2026-05-30,HM12,251.95001789933113
2026-05-31,HM12,251.5440326828211
2026-06-01,HM12,250.49907548446362
2026-06-02,HM12,251.08050967811874
2026-06-03,HM12,248.26839736291802
2026-06-04,HM12,251.2374092083398
2026-06-05,HM12,248.2134334616481
2026-06-06,HM12,250.46568951920017
2026-06-07,HM12,251.2145433651038
2026-06-08,HM12,250.28894983856298
2026-06-09,HM12,248.10479341889413
2026-06-10,HM12,247.9037384175993
2026-06-11,HM12,252.23470798314165
2026-06-12,HM12,249.4588714653856
2026-06-13,HM12,246.88170189996998
2026-05-15,HM13,180.48010467722563
2026-05-16,HM13,178.94821941084285
2026-05-17,HM13,177.55333321950891
2026-05-18,HM13,179.3418415370807
2026-05-19,HM13,179.71268503179806
2026-05-20,HM13,177.472327795007
2026-05-21,HM13,179.40189525236718
2026-05-22,HM13,179.2726347992477
2026-05-23,HM13,181.01349779462186
2026-05-24,HM13,178.6040804038251
2026-05-25,HM13,179.26612804245033
2026-05-26,HM13,179.59928239446185
2026-05-27,HM13,177.63597735954804
2026-05-28,HM13,182.09146756741188
2026-05-29,HM13,180.1267980742172
2026-05-30,HM13,180.11856317115078
2026-05-31,HM13,179.92720798499232
2026-06-01,HM13,179.08430499001872
2026-06-02,HM13,183.12413697104523
2026-06-03,HM13,179.20705307912084
2026-06-04,HM13,179.2015297698532
2026-06-05,HM13,179.29785577893347
2026-06-06,HM13,178.80799655805657
2026-06-07,HM13,183.09783217432062
2026-06-08,HM13,178.44357993515828
2026-06-09,HM13,177.33784567031597
2026-06-10,HM13,179.25575197339128
2026-06-11,HM13,176.44717988711471
2026-06-12,HM13,175.6779140137681
2026-06-13,HM13,181.74892658016978
2026-05-15,HM14,115.50034794509504
2026-05-16,HM14,115.96196254708872
2026-05-17,HM14,113.62847363755458
2026-05-18,HM14,116.6678498721765
2026-05-19,HM14,112.79856682623767
2026-05-20,HM14,116.7210738438452
2026-05-21,HM14,114.48736048916318
2026-05-22,HM14,114.84628494607307
2026-05-23,HM14,114.67273761683683
2026-05-24,HM14,112.04965275515116
2026-05-25,HM14,116.92031278701597
2026-05-26,HM14,114.18137889380355
2026-05-27,HM14,116.24459661651667
2026-05-28,HM14,112.536891421891
2026-05-29,HM14,118.07350360317736
2026-05-30,HM14,116.27819344912412
2026-05-31,HM14,114.97280616891595
2026-06-01,HM14,116.90002318447665
2026-06-02,HM14,115.09913043461458
2026-06-03,HM14,116.66998136561551
2026-06-04,HM14,116.72366082034682
2026-06-05,HM14,118.19551288310988
2026-06-06,HM14,116.63766127878405
2026-06-07,HM14,116.51913293214142
2026-06-08,HM14,115.35150719449867
2026-06-09,HM14,116.30791758277161
2026-06-10,HM14,117.27925142678039
2026-06-11,HM14,119.37250950086455
2026-06-12,HM14,115.24088697917826
2026-06-13,HM14,113.09415525139619
2026-05-15,HM16,244.05743963827246
2026-05-16,HM16,242.9351656815883
2026-05-17,HM16,242.5376472786523
2026-05-18,HM16,245.36000248218448
2026-05-19,HM16,243.51458253363091
2026-05-20,HM16,243.77649374709645
2026-05-21,HM16,244.4997231694069
2026-05-22,HM16,245.0780565907066
2026-05-23,HM16,243.26212279256902
2026-05-24,HM16,245.1611147287981
2026-05-25,HM16,245.106551921652
2026-05-26,HM16,244.19778148861224
2026-05-27,HM16,244.2803737822057
2026-05-28,HM16,243.7269457127012
2026-05-29,HM16,245.65297303743986
2026-05-30,HM16,243.77035109114587
2026-05-31,HM16,246.83007581474607
2026-06-01,HM16,244.43871779314995
2026-06-02,HM16,246.19184377618993
2026-06-03,HM16,245.6835866745651
2026-06-04,HM16,246.50322148206757
2026-06-05,HM16,243.9241392127992
2026-06-06,HM16,246.12275491066015
2026-06-07,HM16,243.62855619043216
2026-06-08,HM16,245.48479578444005
2026-06-09,HM16,246.10202940518298
2026-06-10,HM16,247.3770620030699
2026-06-11,HM16,246.34047810088754
2026-06-12,HM16,247.66843435711093
2026-06-13,HM16,247.3040189694151
2026-05-15,HM20,344.89620051926124
2026-05-16,HM20,347.90687699366754
2026-05-17,HM20,343.8864151932263
2026-05-18,HM20,345.94413464775084
2026-05-19,HM20,344.47847699235786
2026-05-20,HM20,342.43107705438337
2026-05-21,HM20,342.2868882175642
2026-05-22,HM20,344.6891856028141
2026-05-23,HM20,344.4217024939536
2026-05-24,HM20,347.1492443257951
2026-05-25,HM20,346.73871940734705
2026-05-26,HM20,345.11141020494443
2026-05-27,HM20,342.60919433825313
2026-05-28,HM20,346.90075612340365
2026-05-29,HM20,344.0131803819851
2026-05-30,HM20,344.5554094533841
2026-05-31,HM20,342.68127954547833
2026-06-01,HM20,344.7389784920787
2026-06-02,HM20,347.65979087770444
2026-06-03,HM20,342.025507005128
2026-06-04,HM20,343.42050482046835
2026-06-05,HM20,345.01822527956205
2026-06-06,HM20,344.24355154755096
2026-06-07,HM20,342.87877083764727
2026-06-08,HM20,344.5561659158719
2026-06-09,HM20,346.67758391179984
2026-06-10,HM20,341.15147979146735
2026-06-11,HM20,342.4563443966396
2026-06-12,HM20,346.6889423822404
2026-06-13,HM20,342.61081556464376
2026-05-15,HM25,319.2919979665195
2026-05-16,HM25,316.73133215414504
2026-05-17,HM25,316.75656224775696
2026-05-18,HM25,318.2575547763478
2026-05-19,HM25,319.2641039962016
2026-05-20,HM25,317.00753688545234
2026-05-21,HM25,318.3111217897857
2026-05-22,HM25,317.2534331669285
2026-05-23,HM25,317.3077012263806
2026-05-24,HM25,318.1819741143709
2026-05-25,HM25,319.97883624848924
2026-05-26,HM25,318.0760752630345
2026-05-27,HM25,319.2879870924058
2026-05-28,HM25,315.9281652168554
2026-05-29,HM25,318.2672221139254
2026-05-30,HM25,317.3238641159347
2026-05-31,HM25,317.61221410558403
2026-06-01,HM25,317.5269016358315
2026-06-02,HM25,316.1385108561443
2026-06-03,HM25,317.788320340661
2026-06-04,HM25,316.41881299940064
2026-06-05,HM25,321.88054449258846
2026-06-06,HM25,318.66591240571495
2026-06-07,HM25,316.7645032401085
2026-06-08,HM25,315.0885839366583
2026-06-09,HM25,321.72740797269773
2026-06-10,HM25,318.5476200200292
2026-06-11,HM25,318.01859613090676
2026-06-12,HM25,319.227121403092
2026-06-13,HM25,318.64227917963535
2026-05-15,HM30,347.6037071478275
