date,planned_capacity_plant_units
2026-05-15,3090.1946920134237
2026-05-16,3089.1622389640697
2026-05-17,3066.3426987323096
2026-05-18,3086.984150327152
2026-05-19,3086.2602564191848
2026-05-20,3082.327780760517
2026-05-21,3076.632743760872
2026-05-22,3086.4234552796343
2026-05-23,3085.580303616143
2026-05-24,3078.5237942126137
2026-05-25,3084.773300361028
2026-05-26,3081.788794445635
2026-05-27,3081.3459916054267
2026-05-28,3078.011507375056
2026-05-29,3086.3002468157397
2026-05-30,3078.9398691735782
2026-05-31,3082.47011718474
2026-06-01,3083.954509325333
2026-06-02,3086.526554086685
2026-06-03,3079.1726761244677
2026-06-04,3078.309966275429
2026-06-05,3089.001582444712
2026-06-06,3086.8971307059646
2026-06-07,3088.4470878049915
2026-06-08,3082.677986788589
2026-06-09,3085.1521919923443
2026-06-10,3077.4056387315236
2026-06-11,3074.6333951049464
2026-06-12,3086.2332061489856
2026-06-13,3082.690688963137
