sku,container_type,color_family,wc_grade,median_cfr_uh,p10_cfr_uh,p90_cfr_uh,batches,lines_seen,rank_fastest_first
ProMar200-Black-Quart,quart,Black,5A,21.7298830202056,18.420780749272968,25.4399801646336,923,3,1
SuperPaint-White-Quart,quart,White,6A,21.65346883733688,18.524704080164305,25.30157192349255,820,3,2
SuperPaint-Clear-Quart,quart,Clear,8A,21.62625539754184,18.554531510432515,25.425602055532803,394,1,3
ProMar200-White-Quart,quart,White,6A,21.6246916014843,18.385396063978174,25.495750539248466,902,3,4
ProMar200-Clear-Quart,quart,Clear,8A,21.61740141853581,18.95415266067784,25.352107075282188,362,1,5
Duration-White-Quart,quart,White,6A,21.487811007790906,18.481635349990054,25.459018554956398,913,3,6
PrepRite-Black-Quart,quart,Black,5A,21.412603468068394,18.305529217241013,25.065632661501137,955,3,7
Duration-Red-Quart,quart,Red,7B,21.392021461572856,17.977686516262423,25.20005591517159,807,3,8
Emerald-Red-Quart,quart,Red,7B,21.095454382890455,17.982419552848036,24.70970763204767,805,3,9
Emerald-Blue/Green-Quart,quart,Blue/Green,7A,20.139150703853012,17.05050045421922,23.780755014718522,1462,3,10
SuperPaint-Blue/Green-Quart,quart,Blue/Green,7A,20.060060409951397,16.97013824532137,23.66043434888682,1524,3,11
Duration-White-Gallon,gallon,White,6A,16.17485786296495,13.653365255663958,19.073378974492424,748,3,12
ProMar200-Clear-Gallon,gallon,Clear,8A,16.103408354306584,13.755695342628249,18.66413124329891,448,1,13
ProMar200-Black-Gallon,gallon,Black,5A,16.08895010348745,13.581761670141951,18.85637237993353,1406,3,14
SuperPaint-Clear-Gallon,gallon,Clear,8A,16.075705971451264,13.657847560670989,18.67144552201617,428,1,15
PrepRite-Black-Gallon,gallon,Black,5A,16.031884645320762,13.674487660436325,18.860388008854112,1294,3,16
SuperPaint-White-Gallon,gallon,White,6A,15.978074683110654,13.46990973370092,18.71148212148497,743,3,17
ProMar200-White-Gallon,gallon,White,6A,15.954275288432298,13.565719480184327,18.612830055207077,796,3,18
Emerald-Red-Gallon,gallon,Red,7B,15.737665559601457,13.192097412882285,18.46690543817164,1329,3,19
Duration-Red-Gallon,gallon,Red,7B,15.61714965793082,13.219558760714198,18.606632971212385,1442,3,20
SuperPaint-Blue/Green-Gallon,gallon,Blue/Green,7A,14.96620915591895,12.543932534103078,17.314011845763957,976,3,21
Emerald-Blue/Green-Gallon,gallon,Blue/Green,7A,14.838984858178716,12.501078582434515,17.505918209972958,1023,3,22
PrepRite-Black-Pail,pail_5gal,Black,5A,4.746088278842691,3.9405404477986155,5.516535871033095,589,3,23
Duration-White-Pail,pail_5gal,White,6A,4.741744284504658,3.982399287052969,5.544592523182892,277,3,24
SuperPaint-Clear-Pail,pail_5gal,Clear,8A,4.731793424650947,4.054869853226349,5.392054502317126,158,1,25
ProMar200-Black-Pail,pail_5gal,Black,5A,4.701326781628741,3.9639909928968,5.5479383646546925,636,3,26
ProMar200-White-Pail,pail_5gal,White,6A,4.6641951122203125,4.035817463446876,5.476378030765444,304,3,27
ProMar200-Clear-Pail,pail_5gal,Clear,8A,4.654841260874478,3.9698518534689504,5.534964346453802,133,1,28
SuperPaint-White-Pail,pail_5gal,White,6A,4.623378080983012,3.9450884174012266,5.585496623636243,280,3,29
Emerald-Red-Pail,pail_5gal,Red,7B,4.554182462704938,3.807465911378719,5.424604933021298,649,3,30
Duration-Red-Pail,pail_5gal,Red,7B,4.513778904022806,3.884560935082589,5.339647891504089,687,3,31
SuperPaint-Blue/Green-Pail,pail_5gal,Blue/Green,7A,4.426145761749593,3.7310761629319558,5.194611649258997,356,3,32
Emerald-Blue/Green-Pail,pail_5gal,Blue/Green,7A,4.325154262869724,3.7363135232680946,5.022288928281747,319,3,33
