master_formula_code,container_type,median_cfr_uh,p10_cfr_uh,p90_cfr_uh,batches,lines_seen,rank_fastest_first
DUR-MATTE,gallon,440.5467886206334,163.99519501158156,580.3581807662441,655,1,6
PM200-EGGSHELL,gallon,434.2055960458571,171.20484523678203,573.7553819173421,646,1,7
PM200-FLAT-STD,gallon,427.4132534235005,176.4025837149711,582.7135868832637,665,1,8
SP-INTEXT-SATIN,gallon,416.3911205936685,160.7499805476664,549.6496369236731,676,1,9
EMD-SG,gallon,408.4315243596936,164.98529207241,541.244572373193,619,1,10
PM200-EGGSHELL,pail_5gal,234.0832033071812,93.66571652830268,316.71314015726335,622,1,11
PM200-FLAT-STD,pail_5gal,229.3020409587924,81.27204607994857,310.09024941335946,694,1,12
DUR-MATTE,pail_5gal,227.87750839780503,86.54482260360093,312.3428850256405,669,1,13
EMD-SG,pail_5gal,221.1788815070174,91.18740879163568,297.83715948037,632,1,14
SP-INTEXT-SATIN,pail_5gal,215.95224454005972,76.13994134848758,295.1627537615662,660,1,15
