master_formula_code,container_type,median_cfr_uh,p10_cfr_uh,p90_cfr_uh,batches,lines_seen,rank_fastest_first
DUR-MATTE,quart,657.5386286340694,245.2467981556686,900.0574486749623,620,1,1
PM200-FLAT-STD,quart,656.8964788127139,262.54907174003796,904.1954058772066,642,1,2
PM200-EGGSHELL,quart,642.8033458858587,246.68543313176184,896.9474037047527,707,1,3
SP-INTEXT-SATIN,quart,627.892133130668,248.3271913982428,837.2270107117419,611,1,4
EMD-SG,quart,627.7584101360846,243.90924901347043,839.3433552326111,669,1,5
DUR-MATTE,gallon,440.5467886206334,163.99519501158156,580.3581807662441,655,1,6
PM200-EGGSHELL,gallon,434.2055960458571,171.20484523678203,573.7553819173421,646,1,7
PM200-FLAT-STD,gallon,427.4132534235005,176.4025837149711,582.7135868832637,665,1,8
SP-INTEXT-SATIN,gallon,416.3911205936685,160.7499805476664,549.6496369236731,676,1,9
EMD-SG,gallon,408.4315243596936,164.98529207241,541.244572373193,619,1,10
